Edge TPU Compiler version 16.0.384591198
Input: model.tflite
Output: model_edgetpu.tflite

Operator                       Count      Status

PAD                            18         Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
ADD                            33         Mapped to Edge TPU
MAX_POOL_2D                    4          Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
MUL                            17         Mapped to Edge TPU
CONV_2D                        58         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        5          Mapped to Edge TPU
