Edge TPU Compiler version 16.0.384591198
Input: model.tflite
Output: model_edgetpu.tflite

Operator                       Count      Status

QUANTIZE                       2          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
TRANSPOSE_CONV                 4          Mapped to Edge TPU
CONV_2D                        36         Mapped to Edge TPU
DEPTHWISE_CONV_2D              13         Mapped to Edge TPU
CONCATENATION                  4          Mapped to Edge TPU
PAD                            3          Mapped to Edge TPU
ADD                            8          Mapped to Edge TPU
